I	ένα
MMCCLXV	δύο χιλιάδες διακόσια εξήντα πέντε
MMCCLXVI	δύο χιλιάδες διακόσια εξήντα έξι
MMCCLXVII	δύο χιλιάδες διακόσια εξήντα εφτά
MMCCLXVIII	δύο χιλιάδες διακόσια εξήντα οχτώ
MMCCLXIX	δύο χιλιάδες διακόσια εξήντα εννιά
MMCCLXX	δύο χιλιάδες διακόσια εβδομήντα
MMCCLXXI	δύο χιλιάδες διακόσια εβδομήντα ένα
MMCCLXXII	δύο χιλιάδες διακόσια εβδομήντα δύο
MMCCLXXIII	δύο χιλιάδες διακόσια εβδομήντα τρία
MMCCLXXIV	δύο χιλιάδες διακόσια εβδομήντα τέσσερα
MMCCLXXV	δύο χιλιάδες διακόσια εβδομήντα πέντε
MMCCLXXVI	δύο χιλιάδες διακόσια εβδομήντα έξι
MMCCLXXVII	δύο χιλιάδες διακόσια εβδομήντα εφτά
MMCCLXXVIII	δύο χιλιάδες διακόσια εβδομήντα οχτώ
MMCCLXXIX	δύο χιλιάδες διακόσια εβδομήντα εννιά
MMCCLXXX	δύο χιλιάδες διακόσια ογδόντα
MMCCLXXXI	δύο χιλιάδες διακόσια ογδόντα ένα
MMCCLXXXII	δύο χιλιάδες διακόσια ογδόντα δύο
MMCCLXXXIII	δύο χιλιάδες διακόσια ογδόντα τρία
MMCCLXXXIV	δύο χιλιάδες διακόσια ογδόντα τέσσερα
MMCCLXXXV	δύο χιλιάδες διακόσια ογδόντα πέντε
MMCCLXXXVI	δύο χιλιάδες διακόσια ογδόντα έξι
MMCCLXXXVII	δύο χιλιάδες διακόσια ογδόντα εφτά
MMCCLXXXVIII	δύο χιλιάδες διακόσια ογδόντα οχτώ
MMCCLXXXIX	δύο χιλιάδες διακόσια ογδόντα εννιά
MMCCXC	δύο χιλιάδες διακόσια ενενήντα
MMCCXCI	δύο χιλιάδες διακόσια ενενήντα ένα
MMCCXCII	δύο χιλιάδες διακόσια ενενήντα δύο
MMCCXCIII	δύο χιλιάδες διακόσια ενενήντα τρία
MMCCXCIV	δύο χιλιάδες διακόσια ενενήντα τέσσερα
MMCCXCV	δύο χιλιάδες διακόσια ενενήντα πέντε
MMCCXCVI	δύο χιλιάδες διακόσια ενενήντα έξι
MMCCXCVII	δύο χιλιάδες διακόσια ενενήντα εφτά
MMCCXCVIII	δύο χιλιάδες διακόσια ενενήντα οχτώ
MMCCXCIX	δύο χιλιάδες διακόσια ενενήντα εννιά
MMCCC	δύο χιλιάδες τριακόσια
MMCCCI	δύο χιλιάδες τριακόσια ένα
MMCCCII	δύο χιλιάδες τριακόσια δύο
MMCCCIII	δύο χιλιάδες τριακόσια τρία
MMCCCIV	δύο χιλιάδες τριακόσια τέσσερα
MMCCCV	δύο χιλιάδες τριακόσια πέντε
MMCCCVI	δύο χιλιάδες τριακόσια έξι
MMCCCVII	δύο χιλιάδες τριακόσια εφτά
MMCCCVIII	δύο χιλιάδες τριακόσια οχτώ
MMCCCIX	δύο χιλιάδες τριακόσια εννιά
MMCCCX	δύο χιλιάδες τριακόσια δέκα
MMCCCXI	δύο χιλιάδες τριακόσια έντεκα
MMCCCXII	δύο χιλιάδες τριακόσια δώδεκα
MMCCCXIII	δύο χιλιάδες τριακόσια δεκατρία
MMCCCXIV	δύο χιλιάδες τριακόσια δεκατέσσερα
MMCCCXV	δύο χιλιάδες τριακόσια δεκαπέντε
MMCCCXVI	δύο χιλιάδες τριακόσια δεκαέξι
MMCCCXVII	δύο χιλιάδες τριακόσια δεκαεφτά
MMCCCXVIII	δύο χιλιάδες τριακόσια δεκαοχτώ
MMCCCXIX	δύο χιλιάδες τριακόσια δεκαεννιά
MMCCCXX	δύο χιλιάδες τριακόσια είκοσι
MMCCCXXI	δύο χιλιάδες τριακόσια είκοσι ένα
MMCCCXXII	δύο χιλιάδες τριακόσια είκοσι δύο
MMCCCXXIII	δύο χιλιάδες τριακόσια είκοσι τρία
MMCCCXXIV	δύο χιλιάδες τριακόσια είκοσι τέσσερα
MMCCCXXV	δύο χιλιάδες τριακόσια είκοσι πέντε
MMCCCXXVI	δύο χιλιάδες τριακόσια είκοσι έξι
MMCCCXXVII	δύο χιλιάδες τριακόσια είκοσι εφτά
MMCCCXXVIII	δύο χιλιάδες τριακόσια είκοσι οχτώ
MMCCCXXIX	δύο χιλιάδες τριακόσια είκοσι εννιά
MMCCCXXX	δύο χιλιάδες τριακόσια τριάντα
MMCCCXXXI	δύο χιλιάδες τριακόσια τριάντα ένα
MMCCCXXXII	δύο χιλιάδες τριακόσια τριάντα δύο
MMCCCXXXIII	δύο χιλιάδες τριακόσια τριάντα τρία
MMCCCXXXIV	δύο χιλιάδες τριακόσια τριάντα τέσσερα
MMCCCXXXV	δύο χιλιάδες τριακόσια τριάντα πέντε
MMCCCXXXVI	δύο χιλιάδες τριακόσια τριάντα έξι
MMCCCXXXVII	δύο χιλιάδες τριακόσια τριάντα εφτά
MMCCCXXXVIII	δύο χιλιάδες τριακόσια τριάντα οχτώ
MMCCCXXXIX	δύο χιλιάδες τριακόσια τριάντα εννιά
MMCCCXL	δύο χιλιάδες τριακόσια σαράντα
MMCCCXLI	δύο χιλιάδες τριακόσια σαράντα ένα
MMCCCXLII	δύο χιλιάδες τριακόσια σαράντα δύο
MMCCCXLIII	δύο χιλιάδες τριακόσια σαράντα τρία
MMCCCXLIV	δύο χιλιάδες τριακόσια σαράντα τέσσερα
MMCCCXLV	δύο χιλιάδες τριακόσια σαράντα πέντε
MMCCCXLVI	δύο χιλιάδες τριακόσια σαράντα έξι
MMCCCXLVII	δύο χιλιάδες τριακόσια σαράντα εφτά
MMCCCXLVIII	δύο χιλιάδες τριακόσια σαράντα οχτώ
MMCCCXLIX	δύο χιλιάδες τριακόσια σαράντα εννιά
MMCCCL	δύο χιλιάδες τριακόσια πενήντα
MMCCCLI	δύο χιλιάδες τριακόσια πενήντα ένα
MMCCCLII	δύο χιλιάδες τριακόσια πενήντα δύο
MMCCCLIII	δύο χιλιάδες τριακόσια πενήντα τρία
MMCCCLIV	δύο χιλιάδες τριακόσια πενήντα τέσσερα
MMCCCLV	δύο χιλιάδες τριακόσια πενήντα πέντε
MMCCCLVI	δύο χιλιάδες τριακόσια πενήντα έξι
MMCCCLVII	δύο χιλιάδες τριακόσια πενήντα εφτά
MMCCCLVIII	δύο χιλιάδες τριακόσια πενήντα οχτώ
MMCCCLIX	δύο χιλιάδες τριακόσια πενήντα εννιά
MMCCCLX	δύο χιλιάδες τριακόσια εξήντα
MMCCCLXI	δύο χιλιάδες τριακόσια εξήντα ένα
MMCCCLXII	δύο χιλιάδες τριακόσια εξήντα δύο
MMCCCLXIII	δύο χιλιάδες τριακόσια εξήντα τρία
MMCCCLXIV	δύο χιλιάδες τριακόσια εξήντα τέσσερα
MMCCCLXV	δύο χιλιάδες τριακόσια εξήντα πέντε
MMCCCLXVI	δύο χιλιάδες τριακόσια εξήντα έξι
MMCCCLXVII	δύο χιλιάδες τριακόσια εξήντα εφτά
MMCCCLXVIII	δύο χιλιάδες τριακόσια εξήντα οχτώ
MMCCCLXIX	δύο χιλιάδες τριακόσια εξήντα εννιά
MMCCCLXX	δύο χιλιάδες τριακόσια εβδομήντα
MMCCCLXXI	δύο χιλιάδες τριακόσια εβδομήντα ένα
MMCCCLXXII	δύο χιλιάδες τριακόσια εβδομήντα δύο
MMCCCLXXIII	δύο χιλιάδες τριακόσια εβδομήντα τρία
MMCCCLXXIV	δύο χιλιάδες τριακόσια εβδομήντα τέσσερα
MMCCCLXXV	δύο χιλιάδες τριακόσια εβδομήντα πέντε
MMCCCLXXVI	δύο χιλιάδες τριακόσια εβδομήντα έξι
MMCCCLXXVII	δύο χιλιάδες τριακόσια εβδομήντα εφτά
MMCCCLXXVIII	δύο χιλιάδες τριακόσια εβδομήντα οχτώ
MMCCCLXXIX	δύο χιλιάδες τριακόσια εβδομήντα εννιά
MMCCCLXXX	δύο χιλιάδες τριακόσια ογδόντα
MMCCCLXXXI	δύο χιλιάδες τριακόσια ογδόντα ένα
MMCCCLXXXII	δύο χιλιάδες τριακόσια ογδόντα δύο
MMCCCLXXXIII	δύο χιλιάδες τριακόσια ογδόντα τρία
MMCCCLXXXIV	δύο χιλιάδες τριακόσια ογδόντα τέσσερα
MMCCCLXXXV	δύο χιλιάδες τριακόσια ογδόντα πέντε
MMCCCLXXXVI	δύο χιλιάδες τριακόσια ογδόντα έξι
MMCCCLXXXVII	δύο χιλιάδες τριακόσια ογδόντα εφτά
MMCCCLXXXVIII	δύο χιλιάδες τριακόσια ογδόντα οχτώ
MMCCCLXXXIX	δύο χιλιάδες τριακόσια ογδόντα εννιά
MMCCCXC	δύο χιλιάδες τριακόσια ενενήντα
MMCCCXCI	δύο χιλιάδες τριακόσια ενενήντα ένα
MMCCCXCII	δύο χιλιάδες τριακόσια ενενήντα δύο
MMCCCXCIII	δύο χιλιάδες τριακόσια ενενήντα τρία
MMCCCXCIV	δύο χιλιάδες τριακόσια ενενήντα τέσσερα
MMCCCXCV	δύο χιλιάδες τριακόσια ενενήντα πέντε
MMCCCXCVI	δύο χιλιάδες τριακόσια ενενήντα έξι
MMCCCXCVII	δύο χιλιάδες τριακόσια ενενήντα εφτά
MMCCCXCVIII	δύο χιλιάδες τριακόσια ενενήντα οχτώ
MMCCCXCIX	δύο χιλιάδες τριακόσια ενενήντα εννιά
MMCD	δύο χιλιάδες τετρακόσια
MMCDI	δύο χιλιάδες τετρακόσια ένα
MMCDII	δύο χιλιάδες τετρακόσια δύο
MMCDIII	δύο χιλιάδες τετρακόσια τρία
MMCDIV	δύο χιλιάδες τετρακόσια τέσσερα
MMCDV	δύο χιλιάδες τετρακόσια πέντε
MMCDVI	δύο χιλιάδες τετρακόσια έξι
MMCDVII	δύο χιλιάδες τετρακόσια εφτά
MMCDVIII	δύο χιλιάδες τετρακόσια οχτώ
MMCDIX	δύο χιλιάδες τετρακόσια εννιά
MMCDX	δύο χιλιάδες τετρακόσια δέκα
MMCDXI	δύο χιλιάδες τετρακόσια έντεκα
MMCDXII	δύο χιλιάδες τετρακόσια δώδεκα
MMCDXIII	δύο χιλιάδες τετρακόσια δεκατρία
MMCDXIV	δύο χιλιάδες τετρακόσια δεκατέσσερα
MMCDXV	δύο χιλιάδες τετρακόσια δεκαπέντε
MMCDXVI	δύο χιλιάδες τετρακόσια δεκαέξι
MMCDXVII	δύο χιλιάδες τετρακόσια δεκαεφτά
MMCDXVIII	δύο χιλιάδες τετρακόσια δεκαοχτώ
MMCDXIX	δύο χιλιάδες τετρακόσια δεκαεννιά
MMCDXX	δύο χιλιάδες τετρακόσια είκοσι
MMCDXXI	δύο χιλιάδες τετρακόσια είκοσι ένα
MMCDXXII	δύο χιλιάδες τετρακόσια είκοσι δύο
MMCDXXIII	δύο χιλιάδες τετρακόσια είκοσι τρία
MMCDXXIV	δύο χιλιάδες τετρακόσια είκοσι τέσσερα
MMCDXXV	δύο χιλιάδες τετρακόσια είκοσι πέντε
MMCDXXVI	δύο χιλιάδες τετρακόσια είκοσι έξι
MMCDXXVII	δύο χιλιάδες τετρακόσια είκοσι εφτά
MMCDXXVIII	δύο χιλιάδες τετρακόσια είκοσι οχτώ
MMCDXXIX	δύο χιλιάδες τετρακόσια είκοσι εννιά
MMCDXXX	δύο χιλιάδες τετρακόσια τριάντα
MMCDXXXI	δύο χιλιάδες τετρακόσια τριάντα ένα
MMCDXXXII	δύο χιλιάδες τετρακόσια τριάντα δύο
MMCDXXXIII	δύο χιλιάδες τετρακόσια τριάντα τρία
MMCDXXXIV	δύο χιλιάδες τετρακόσια τριάντα τέσσερα
MMCDXXXV	δύο χιλιάδες τετρακόσια τριάντα πέντε
MMCDXXXVI	δύο χιλιάδες τετρακόσια τριάντα έξι
MMCDXXXVII	δύο χιλιάδες τετρακόσια τριάντα εφτά
MMCDXXXVIII	δύο χιλιάδες τετρακόσια τριάντα οχτώ
MMCDXXXIX	δύο χιλιάδες τετρακόσια τριάντα εννιά
MMCDXL	δύο χιλιάδες τετρακόσια σαράντα
MMCDXLI	δύο χιλιάδες τετρακόσια σαράντα ένα
MMCDXLII	δύο χιλιάδες τετρακόσια σαράντα δύο
MMCDXLIII	δύο χιλιάδες τετρακόσια σαράντα τρία
MMCDXLIV	δύο χιλιάδες τετρακόσια σαράντα τέσσερα
MMCDXLV	δύο χιλιάδες τετρακόσια σαράντα πέντε
MMCDXLVI	δύο χιλιάδες τετρακόσια σαράντα έξι
MMCDXLVII	δύο χιλιάδες τετρακόσια σαράντα εφτά
MMCDXLVIII	δύο χιλιάδες τετρακόσια σαράντα οχτώ
MMCDXLIX	δύο χιλιάδες τετρακόσια σαράντα εννιά
MMCDL	δύο χιλιάδες τετρακόσια πενήντα
MMCDLI	δύο χιλιάδες τετρακόσια πενήντα ένα
MMCDLII	δύο χιλιάδες τετρακόσια πενήντα δύο
MMCDLIII	δύο χιλιάδες τετρακόσια πενήντα τρία
MMCDLIV	δύο χιλιάδες τετρακόσια πενήντα τέσσερα
MMCDLV	δύο χιλιάδες τετρακόσια πενήντα πέντε
MMCDLVI	δύο χιλιάδες τετρακόσια πενήντα έξι
MMCDLVII	δύο χιλιάδες τετρακόσια πενήντα εφτά
MMCDLVIII	δύο χιλιάδες τετρακόσια πενήντα οχτώ
MMCDLIX	δύο χιλιάδες τετρακόσια πενήντα εννιά
MMCDLX	δύο χιλιάδες τετρακόσια εξήντα
MMCDLXI	δύο χιλιάδες τετρακόσια εξήντα ένα
MMCDLXII	δύο χιλιάδες τετρακόσια εξήντα δύο
MMCDLXIII	δύο χιλιάδες τετρακόσια εξήντα τρία
MMCDLXIV	δύο χιλιάδες τετρακόσια εξήντα τέσσερα
MMCDLXV	δύο χιλιάδες τετρακόσια εξήντα πέντε
MMCDLXVI	δύο χιλιάδες τετρακόσια εξήντα έξι
MMCDLXVII	δύο χιλιάδες τετρακόσια εξήντα εφτά
MMCDLXVIII	δύο χιλιάδες τετρακόσια εξήντα οχτώ
MMCDLXIX	δύο χιλιάδες τετρακόσια εξήντα εννιά
MMCDLXX	δύο χιλιάδες τετρακόσια εβδομήντα
MMCDLXXI	δύο χιλιάδες τετρακόσια εβδομήντα ένα
MMCDLXXII	δύο χιλιάδες τετρακόσια εβδομήντα δύο
MMCDLXXIII	δύο χιλιάδες τετρακόσια εβδομήντα τρία
MMCDLXXIV	δύο χιλιάδες τετρακόσια εβδομήντα τέσσερα
MMCDLXXV	δύο χιλιάδες τετρακόσια εβδομήντα πέντε
MMCDLXXVI	δύο χιλιάδες τετρακόσια εβδομήντα έξι
MMCDLXXVII	δύο χιλιάδες τετρακόσια εβδομήντα εφτά
MMCDLXXVIII	δύο χιλιάδες τετρακόσια εβδομήντα οχτώ
MMCDLXXIX	δύο χιλιάδες τετρακόσια εβδομήντα εννιά
MMCDLXXX	δύο χιλιάδες τετρακόσια ογδόντα
MMCDLXXXI	δύο χιλιάδες τετρακόσια ογδόντα ένα
MMCDLXXXII	δύο χιλιάδες τετρακόσια ογδόντα δύο
MMCDLXXXIII	δύο χιλιάδες τετρακόσια ογδόντα τρία
MMCDLXXXIV	δύο χιλιάδες τετρακόσια ογδόντα τέσσερα
MMCDLXXXV	δύο χιλιάδες τετρακόσια ογδόντα πέντε
MMCDLXXXVI	δύο χιλιάδες τετρακόσια ογδόντα έξι
MMCDLXXXVII	δύο χιλιάδες τετρακόσια ογδόντα εφτά
MMCDLXXXVIII	δύο χιλιάδες τετρακόσια ογδόντα οχτώ
MMCDLXXXIX	δύο χιλιάδες τετρακόσια ογδόντα εννιά
MMCDXC	δύο χιλιάδες τετρακόσια ενενήντα
MMCDXCI	δύο χιλιάδες τετρακόσια ενενήντα ένα
MMCDXCII	δύο χιλιάδες τετρακόσια ενενήντα δύο
MMCDXCIII	δύο χιλιάδες τετρακόσια ενενήντα τρία
MMCDXCIV	δύο χιλιάδες τετρακόσια ενενήντα τέσσερα
MMCDXCV	δύο χιλιάδες τετρακόσια ενενήντα πέντε
MMCDXCVI	δύο χιλιάδες τετρακόσια ενενήντα έξι
MMCDXCVII	δύο χιλιάδες τετρακόσια ενενήντα εφτά
MMCDXCVIII	δύο χιλιάδες τετρακόσια ενενήντα οχτώ
MMCDXCIX	δύο χιλιάδες τετρακόσια ενενήντα εννιά
MMD	δύο χιλιάδες πεντακόσια
MMDI	δύο χιλιάδες πεντακόσια ένα
MMDII	δύο χιλιάδες πεντακόσια δύο
MMDIII	δύο χιλιάδες πεντακόσια τρία
MMDIV	δύο χιλιάδες πεντακόσια τέσσερα
MMDV	δύο χιλιάδες πεντακόσια πέντε
MMDVI	δύο χιλιάδες πεντακόσια έξι
MMDVII	δύο χιλιάδες πεντακόσια εφτά
MMDVIII	δύο χιλιάδες πεντακόσια οχτώ
MMDIX	δύο χιλιάδες πεντακόσια εννιά
MMDX	δύο χιλιάδες πεντακόσια δέκα
MMDXI	δύο χιλιάδες πεντακόσια έντεκα
MMDXII	δύο χιλιάδες πεντακόσια δώδεκα
MMDXIII	δύο χιλιάδες πεντακόσια δεκατρία
MMDXIV	δύο χιλιάδες πεντακόσια δεκατέσσερα
MMDXV	δύο χιλιάδες πεντακόσια δεκαπέντε
MMDXVI	δύο χιλιάδες πεντακόσια δεκαέξι
MMDXVII	δύο χιλιάδες πεντακόσια δεκαεφτά
MMDXVIII	δύο χιλιάδες πεντακόσια δεκαοχτώ
MMDXIX	δύο χιλιάδες πεντακόσια δεκαεννιά
MMDXX	δύο χιλιάδες πεντακόσια είκοσι
MMDXXI	δύο χιλιάδες πεντακόσια είκοσι ένα
MMDXXII	δύο χιλιάδες πεντακόσια είκοσι δύο
MMDXXIII	δύο χιλιάδες πεντακόσια είκοσι τρία
MMDXXIV	δύο χιλιάδες πεντακόσια είκοσι τέσσερα
MMDXXV	δύο χιλιάδες πεντακόσια είκοσι πέντε
MMDXXVI	δύο χιλιάδες πεντακόσια είκοσι έξι
MMDXXVII	δύο χιλιάδες πεντακόσια είκοσι εφτά
MMDXXVIII	δύο χιλιάδες πεντακόσια είκοσι οχτώ
MMDXXIX	δύο χιλιάδες πεντακόσια είκοσι εννιά
MMDXXX	δύο χιλιάδες πεντακόσια τριάντα
MMDXXXI	δύο χιλιάδες πεντακόσια τριάντα ένα
MMDXXXII	δύο χιλιάδες πεντακόσια τριάντα δύο
MMDXXXIII	δύο χιλιάδες πεντακόσια τριάντα τρία
MMDXXXIV	δύο χιλιάδες πεντακόσια τριάντα τέσσερα
MMDXXXV	δύο χιλιάδες πεντακόσια τριάντα πέντε
MMDXXXVI	δύο χιλιάδες πεντακόσια τριάντα έξι
MMDXXXVII	δύο χιλιάδες πεντακόσια τριάντα εφτά
MMDXXXVIII	δύο χιλιάδες πεντακόσια τριάντα οχτώ
MMDXXXIX	δύο χιλιάδες πεντακόσια τριάντα εννιά
MMDXL	δύο χιλιάδες πεντακόσια σαράντα
MMDXLI	δύο χιλιάδες πεντακόσια σαράντα ένα
MMDXLII	δύο χιλιάδες πεντακόσια σαράντα δύο
MMDXLIII	δύο χιλιάδες πεντακόσια σαράντα τρία
MMDXLIV	δύο χιλιάδες πεντακόσια σαράντα τέσσερα
MMDXLV	δύο χιλιάδες πεντακόσια σαράντα πέντε
MMDXLVI	δύο χιλιάδες πεντακόσια σαράντα έξι
MMDXLVII	δύο χιλιάδες πεντακόσια σαράντα εφτά
MMDXLVIII	δύο χιλιάδες πεντακόσια σαράντα οχτώ
MMDXLIX	δύο χιλιάδες πεντακόσια σαράντα εννιά
MMDL	δύο χιλιάδες πεντακόσια πενήντα
MMDLI	δύο χιλιάδες πεντακόσια πενήντα ένα
MMDLII	δύο χιλιάδες πεντακόσια πενήντα δύο
MMDLIII	δύο χιλιάδες πεντακόσια πενήντα τρία
MMDLIV	δύο χιλιάδες πεντακόσια πενήντα τέσσερα
MMDLV	δύο χιλιάδες πεντακόσια πενήντα πέντε
MMDLVI	δύο χιλιάδες πεντακόσια πενήντα έξι
MMDLVII	δύο χιλιάδες πεντακόσια πενήντα εφτά
MMDLVIII	δύο χιλιάδες πεντακόσια πενήντα οχτώ
MMDLIX	δύο χιλιάδες πεντακόσια πενήντα εννιά
MMDLX	δύο χιλιάδες πεντακόσια εξήντα
MMDLXI	δύο χιλιάδες πεντακόσια εξήντα ένα
MMDLXII	δύο χιλιάδες πεντακόσια εξήντα δύο
MMDLXIII	δύο χιλιάδες πεντακόσια εξήντα τρία
MMDLXIV	δύο χιλιάδες πεντακόσια εξήντα τέσσερα
MMDLXV	δύο χιλιάδες πεντακόσια εξήντα πέντε
MMDLXVI	δύο χιλιάδες πεντακόσια εξήντα έξι
MMDLXVII	δύο χιλιάδες πεντακόσια εξήντα εφτά
MMDLXVIII	δύο χιλιάδες πεντακόσια εξήντα οχτώ
MMDLXIX	δύο χιλιάδες πεντακόσια εξήντα εννιά
MMDLXX	δύο χιλιάδες πεντακόσια εβδομήντα
MMDLXXI	δύο χιλιάδες πεντακόσια εβδομήντα ένα
MMDLXXII	δύο χιλιάδες πεντακόσια εβδομήντα δύο
MMDLXXIII	δύο χιλιάδες πεντακόσια εβδομήντα τρία
MMDLXXIV	δύο χιλιάδες πεντακόσια εβδομήντα τέσσερα
MMDLXXV	δύο χιλιάδες πεντακόσια εβδομήντα πέντε
MMDLXXVI	δύο χιλιάδες πεντακόσια εβδομήντα έξι
MMDLXXVII	δύο χιλιάδες πεντακόσια εβδομήντα εφτά
MMDLXXVIII	δύο χιλιάδες πεντακόσια εβδομήντα οχτώ
MMDLXXIX	δύο χιλιάδες πεντακόσια εβδομήντα εννιά
MMDLXXX	δύο χιλιάδες πεντακόσια ογδόντα
MMDLXXXI	δύο χιλιάδες πεντακόσια ογδόντα ένα
MMDLXXXII	δύο χιλιάδες πεντακόσια ογδόντα δύο
MMDLXXXIII	δύο χιλιάδες πεντακόσια ογδόντα τρία
MMDLXXXIV	δύο χιλιάδες πεντακόσια ογδόντα τέσσερα
MMDLXXXV	δύο χιλιάδες πεντακόσια ογδόντα πέντε
MMDLXXXVI	δύο χιλιάδες πεντακόσια ογδόντα έξι
MMDLXXXVII	δύο χιλιάδες πεντακόσια ογδόντα εφτά
MMDLXXXVIII	δύο χιλιάδες πεντακόσια ογδόντα οχτώ
MMDLXXXIX	δύο χιλιάδες πεντακόσια ογδόντα εννιά
MMDXC	δύο χιλιάδες πεντακόσια ενενήντα
MMDXCI	δύο χιλιάδες πεντακόσια ενενήντα ένα
MMDXCII	δύο χιλιάδες πεντακόσια ενενήντα δύο
MMDXCIII	δύο χιλιάδες πεντακόσια ενενήντα τρία
MMDXCIV	δύο χιλιάδες πεντακόσια ενενήντα τέσσερα
MMDXCV	δύο χιλιάδες πεντακόσια ενενήντα πέντε
MMDXCVI	δύο χιλιάδες πεντακόσια ενενήντα έξι
MMDXCVII	δύο χιλιάδες πεντακόσια ενενήντα εφτά
MMDXCVIII	δύο χιλιάδες πεντακόσια ενενήντα οχτώ
MMDXCIX	δύο χιλιάδες πεντακόσια ενενήντα εννιά
MMDC	δύο χιλιάδες εξακόσια
MMDCI	δύο χιλιάδες εξακόσια ένα
MMDCII	δύο χιλιάδες εξακόσια δύο
MMDCIII	δύο χιλιάδες εξακόσια τρία
MMDCIV	δύο χιλιάδες εξακόσια τέσσερα
MMDCV	δύο χιλιάδες εξακόσια πέντε
MMDCVI	δύο χιλιάδες εξακόσια έξι
MMDCVII	δύο χιλιάδες εξακόσια εφτά
MMDCVIII	δύο χιλιάδες εξακόσια οχτώ
MMDCIX	δύο χιλιάδες εξακόσια εννιά
MMDCX	δύο χιλιάδες εξακόσια δέκα
MMDCXI	δύο χιλιάδες εξακόσια έντεκα
MMDCXII	δύο χιλιάδες εξακόσια δώδεκα
MMDCXIII	δύο χιλιάδες εξακόσια δεκατρία
MMDCXIV	δύο χιλιάδες εξακόσια δεκατέσσερα
MMDCXV	δύο χιλιάδες εξακόσια δεκαπέντε
MMDCXVI	δύο χιλιάδες εξακόσια δεκαέξι
MMDCXVII	δύο χιλιάδες εξακόσια δεκαεφτά
MMDCXVIII	δύο χιλιάδες εξακόσια δεκαοχτώ
MMDCXIX	δύο χιλιάδες εξακόσια δεκαεννιά
MMDCXX	δύο χιλιάδες εξακόσια είκοσι
MMDCXXI	δύο χιλιάδες εξακόσια είκοσι ένα
MMDCXXII	δύο χιλιάδες εξακόσια είκοσι δύο
MMDCXXIII	δύο χιλιάδες εξακόσια είκοσι τρία
MMDCXXIV	δύο χιλιάδες εξακόσια είκοσι τέσσερα
MMDCXXV	δύο χιλιάδες εξακόσια είκοσι πέντε
MMDCXXVI	δύο χιλιάδες εξακόσια είκοσι έξι
MMDCXXVII	δύο χιλιάδες εξακόσια είκοσι εφτά
MMDCXXVIII	δύο χιλιάδες εξακόσια είκοσι οχτώ
MMDCXXIX	δύο χιλιάδες εξακόσια είκοσι εννιά
MMDCXXX	δύο χιλιάδες εξακόσια τριάντα
MMDCXXXI	δύο χιλιάδες εξακόσια τριάντα ένα
MMDCXXXII	δύο χιλιάδες εξακόσια τριάντα δύο
MMDCXXXIII	δύο χιλιάδες εξακόσια τριάντα τρία
MMDCXXXIV	δύο χιλιάδες εξακόσια τριάντα τέσσερα
MMDCXXXV	δύο χιλιάδες εξακόσια τριάντα πέντε
MMDCXXXVI	δύο χιλιάδες εξακόσια τριάντα έξι
MMDCXXXVII	δύο χιλιάδες εξακόσια τριάντα εφτά
MMDCXXXVIII	δύο χιλιάδες εξακόσια τριάντα οχτώ
MMDCXXXIX	δύο χιλιάδες εξακόσια τριάντα εννιά
MMDCXL	δύο χιλιάδες εξακόσια σαράντα
MMDCXLI	δύο χιλιάδες εξακόσια σαράντα ένα
MMDCXLII	δύο χιλιάδες εξακόσια σαράντα δύο
MMDCXLIII	δύο χιλιάδες εξακόσια σαράντα τρία
MMDCXLIV	δύο χιλιάδες εξακόσια σαράντα τέσσερα
MMDCXLV	δύο χιλιάδες εξακόσια σαράντα πέντε
MMDCXLVI	δύο χιλιάδες εξακόσια σαράντα έξι
MMDCXLVII	δύο χιλιάδες εξακόσια σαράντα εφτά
MMDCXLVIII	δύο χιλιάδες εξακόσια σαράντα οχτώ
MMDCXLIX	δύο χιλιάδες εξακόσια σαράντα εννιά
MMDCL	δύο χιλιάδες εξακόσια πενήντα
MMDCLI	δύο χιλιάδες εξακόσια πενήντα ένα
MMDCLII	δύο χιλιάδες εξακόσια πενήντα δύο
MMDCLIII	δύο χιλιάδες εξακόσια πενήντα τρία
MMDCLIV	δύο χιλιάδες εξακόσια πενήντα τέσσερα
MMDCLV	δύο χιλιάδες εξακόσια πενήντα πέντε
MMDCLVI	δύο χιλιάδες εξακόσια πενήντα έξι
MMDCLVII	δύο χιλιάδες εξακόσια πενήντα εφτά
MMDCLVIII	δύο χιλιάδες εξακόσια πενήντα οχτώ
MMDCLIX	δύο χιλιάδες εξακόσια πενήντα εννιά
MMDCLX	δύο χιλιάδες εξακόσια εξήντα
MMDCLXI	δύο χιλιάδες εξακόσια εξήντα ένα
MMDCLXII	δύο χιλιάδες εξακόσια εξήντα δύο
MMDCLXIII	δύο χιλιάδες εξακόσια εξήντα τρία
MMDCLXIV	δύο χιλιάδες εξακόσια εξήντα τέσσερα
MMDCLXV	δύο χιλιάδες εξακόσια εξήντα πέντε
MMDCLXVI	δύο χιλιάδες εξακόσια εξήντα έξι
MMDCLXVII	δύο χιλιάδες εξακόσια εξήντα εφτά
MMDCLXVIII	δύο χιλιάδες εξακόσια εξήντα οχτώ
MMDCLXIX	δύο χιλιάδες εξακόσια εξήντα εννιά
MMDCLXX	δύο χιλιάδες εξακόσια εβδομήντα
MMDCLXXI	δύο χιλιάδες εξακόσια εβδομήντα ένα
MMDCLXXII	δύο χιλιάδες εξακόσια εβδομήντα δύο
