I	ένα
CDXXVIII	τετρακόσια είκοσι οχτώ
CDXXIX	τετρακόσια είκοσι εννιά
CDXXX	τετρακόσια τριάντα
CDXXXI	τετρακόσια τριάντα ένα
CDXXXII	τετρακόσια τριάντα δύο
CDXXXIII	τετρακόσια τριάντα τρία
CDXXXIV	τετρακόσια τριάντα τέσσερα
CDXXXV	τετρακόσια τριάντα πέντε
CDXXXVI	τετρακόσια τριάντα έξι
CDXXXVII	τετρακόσια τριάντα εφτά
CDXXXVIII	τετρακόσια τριάντα οχτώ
CDXXXIX	τετρακόσια τριάντα εννιά
CDXL	τετρακόσια σαράντα
CDXLI	τετρακόσια σαράντα ένα
CDXLII	τετρακόσια σαράντα δύο
CDXLIII	τετρακόσια σαράντα τρία
CDXLIV	τετρακόσια σαράντα τέσσερα
CDXLV	τετρακόσια σαράντα πέντε
CDXLVI	τετρακόσια σαράντα έξι
CDXLVII	τετρακόσια σαράντα εφτά
CDXLVIII	τετρακόσια σαράντα οχτώ
CDXLIX	τετρακόσια σαράντα εννιά
CDL	τετρακόσια πενήντα
CDLI	τετρακόσια πενήντα ένα
CDLII	τετρακόσια πενήντα δύο
CDLIII	τετρακόσια πενήντα τρία
CDLIV	τετρακόσια πενήντα τέσσερα
CDLV	τετρακόσια πενήντα πέντε
CDLVI	τετρακόσια πενήντα έξι
CDLVII	τετρακόσια πενήντα εφτά
CDLVIII	τετρακόσια πενήντα οχτώ
CDLIX	τετρακόσια πενήντα εννιά
CDLX	τετρακόσια εξήντα
CDLXI	τετρακόσια εξήντα ένα
CDLXII	τετρακόσια εξήντα δύο
CDLXIII	τετρακόσια εξήντα τρία
CDLXIV	τετρακόσια εξήντα τέσσερα
CDLXV	τετρακόσια εξήντα πέντε
CDLXVI	τετρακόσια εξήντα έξι
CDLXVII	τετρακόσια εξήντα εφτά
CDLXVIII	τετρακόσια εξήντα οχτώ
CDLXIX	τετρακόσια εξήντα εννιά
CDLXX	τετρακόσια εβδομήντα
CDLXXI	τετρακόσια εβδομήντα ένα
CDLXXII	τετρακόσια εβδομήντα δύο
CDLXXIII	τετρακόσια εβδομήντα τρία
CDLXXIV	τετρακόσια εβδομήντα τέσσερα
CDLXXV	τετρακόσια εβδομήντα πέντε
CDLXXVI	τετρακόσια εβδομήντα έξι
CDLXXVII	τετρακόσια εβδομήντα εφτά
CDLXXVIII	τετρακόσια εβδομήντα οχτώ
CDLXXIX	τετρακόσια εβδομήντα εννιά
CDLXXX	τετρακόσια ογδόντα
CDLXXXI	τετρακόσια ογδόντα ένα
CDLXXXII	τετρακόσια ογδόντα δύο
CDLXXXIII	τετρακόσια ογδόντα τρία
CDLXXXIV	τετρακόσια ογδόντα τέσσερα
CDLXXXV	τετρακόσια ογδόντα πέντε
CDLXXXVI	τετρακόσια ογδόντα έξι
CDLXXXVII	τετρακόσια ογδόντα εφτά
CDLXXXVIII	τετρακόσια ογδόντα οχτώ
CDLXXXIX	τετρακόσια ογδόντα εννιά
CDXC	τετρακόσια ενενήντα
CDXCI	τετρακόσια ενενήντα ένα
CDXCII	τετρακόσια ενενήντα δύο
CDXCIII	τετρακόσια ενενήντα τρία
CDXCIV	τετρακόσια ενενήντα τέσσερα
CDXCV	τετρακόσια ενενήντα πέντε
CDXCVI	τετρακόσια ενενήντα έξι
CDXCVII	τετρακόσια ενενήντα εφτά
CDXCVIII	τετρακόσια ενενήντα οχτώ
CDXCIX	τετρακόσια ενενήντα εννιά
D	πεντακόσια
DI	πεντακόσια ένα
DII	πεντακόσια δύο
DIII	πεντακόσια τρία
DIV	πεντακόσια τέσσερα
DV	πεντακόσια πέντε
DVI	πεντακόσια έξι
DVII	πεντακόσια εφτά
DVIII	πεντακόσια οχτώ
DIX	πεντακόσια εννιά
DX	πεντακόσια δέκα
DXI	πεντακόσια έντεκα
DXII	πεντακόσια δώδεκα
DXIII	πεντακόσια δεκατρία
DXIV	πεντακόσια δεκατέσσερα
DXV	πεντακόσια δεκαπέντε
DXVI	πεντακόσια δεκαέξι
DXVII	πεντακόσια δεκαεφτά
DXVIII	πεντακόσια δεκαοχτώ
DXIX	πεντακόσια δεκαεννιά
DXX	πεντακόσια είκοσι
DXXI	πεντακόσια είκοσι ένα
DXXII	πεντακόσια είκοσι δύο
DXXIII	πεντακόσια είκοσι τρία
DXXIV	πεντακόσια είκοσι τέσσερα
DXXV	πεντακόσια είκοσι πέντε
DXXVI	πεντακόσια είκοσι έξι
DXXVII	πεντακόσια είκοσι εφτά
DXXVIII	πεντακόσια είκοσι οχτώ
DXXIX	πεντακόσια είκοσι εννιά
DXXX	πεντακόσια τριάντα
DXXXI	πεντακόσια τριάντα ένα
DXXXII	πεντακόσια τριάντα δύο
DXXXIII	πεντακόσια τριάντα τρία
DXXXIV	πεντακόσια τριάντα τέσσερα
DXXXV	πεντακόσια τριάντα πέντε
DXXXVI	πεντακόσια τριάντα έξι
DXXXVII	πεντακόσια τριάντα εφτά
DXXXVIII	πεντακόσια τριάντα οχτώ
DXXXIX	πεντακόσια τριάντα εννιά
DXL	πεντακόσια σαράντα
DXLI	πεντακόσια σαράντα ένα
DXLII	πεντακόσια σαράντα δύο
DXLIII	πεντακόσια σαράντα τρία
DXLIV	πεντακόσια σαράντα τέσσερα
DXLV	πεντακόσια σαράντα πέντε
DXLVI	πεντακόσια σαράντα έξι
DXLVII	πεντακόσια σαράντα εφτά
DXLVIII	πεντακόσια σαράντα οχτώ
DXLIX	πεντακόσια σαράντα εννιά
DL	πεντακόσια πενήντα
DLI	πεντακόσια πενήντα ένα
DLII	πεντακόσια πενήντα δύο
DLIII	πεντακόσια πενήντα τρία
DLIV	πεντακόσια πενήντα τέσσερα
DLV	πεντακόσια πενήντα πέντε
DLVI	πεντακόσια πενήντα έξι
DLVII	πεντακόσια πενήντα εφτά
DLVIII	πεντακόσια πενήντα οχτώ
DLIX	πεντακόσια πενήντα εννιά
DLX	πεντακόσια εξήντα
DLXI	πεντακόσια εξήντα ένα
DLXII	πεντακόσια εξήντα δύο
DLXIII	πεντακόσια εξήντα τρία
DLXIV	πεντακόσια εξήντα τέσσερα
DLXV	πεντακόσια εξήντα πέντε
DLXVI	πεντακόσια εξήντα έξι
DLXVII	πεντακόσια εξήντα εφτά
DLXVIII	πεντακόσια εξήντα οχτώ
DLXIX	πεντακόσια εξήντα εννιά
DLXX	πεντακόσια εβδομήντα
DLXXI	πεντακόσια εβδομήντα ένα
DLXXII	πεντακόσια εβδομήντα δύο
DLXXIII	πεντακόσια εβδομήντα τρία
DLXXIV	πεντακόσια εβδομήντα τέσσερα
DLXXV	πεντακόσια εβδομήντα πέντε
DLXXVI	πεντακόσια εβδομήντα έξι
DLXXVII	πεντακόσια εβδομήντα εφτά
DLXXVIII	πεντακόσια εβδομήντα οχτώ
DLXXIX	πεντακόσια εβδομήντα εννιά
DLXXX	πεντακόσια ογδόντα
DLXXXI	πεντακόσια ογδόντα ένα
DLXXXII	πεντακόσια ογδόντα δύο
DLXXXIII	πεντακόσια ογδόντα τρία
DLXXXIV	πεντακόσια ογδόντα τέσσερα
DLXXXV	πεντακόσια ογδόντα πέντε
DLXXXVI	πεντακόσια ογδόντα έξι
DLXXXVII	πεντακόσια ογδόντα εφτά
DLXXXVIII	πεντακόσια ογδόντα οχτώ
DLXXXIX	πεντακόσια ογδόντα εννιά
DXC	πεντακόσια ενενήντα
DXCI	πεντακόσια ενενήντα ένα
DXCII	πεντακόσια ενενήντα δύο
DXCIII	πεντακόσια ενενήντα τρία
DXCIV	πεντακόσια ενενήντα τέσσερα
DXCV	πεντακόσια ενενήντα πέντε
DXCVI	πεντακόσια ενενήντα έξι
DXCVII	πεντακόσια ενενήντα εφτά
DXCVIII	πεντακόσια ενενήντα οχτώ
DXCIX	πεντακόσια ενενήντα εννιά
DC	εξακόσια
DCI	εξακόσια ένα
DCII	εξακόσια δύο
DCIII	εξακόσια τρία
DCIV	εξακόσια τέσσερα
DCV	εξακόσια πέντε
DCVI	εξακόσια έξι
DCVII	εξακόσια εφτά
DCVIII	εξακόσια οχτώ
DCIX	εξακόσια εννιά
DCX	εξακόσια δέκα
DCXI	εξακόσια έντεκα
